"Región","Tipo.punto.monitoreo","Sector","Periodo","Semana","Producto","Mínimo","Máximo"
7,"Feria libre","Talca",2013,28,"Ajo",125,150
7,"Feria libre","Curicó",2013,28,"Ajo",100,160
7,"Feria libre","Talca",2013,28,"Ajo",100,100
7,"Feria libre","Talca",2013,28,"Brócoli",500,500
7,"Feria libre","Curicó",2013,28,"Brócoli",500,600
7,"Feria libre","Talca",2013,28,"Brócoli",400,400
7,"Feria libre","Talca",2013,28,"Cebolla",200,250
7,"Feria libre","Curicó",2013,28,"Cebolla",250,250
7,"Feria libre","Curicó",2013,28,"Cebolla",200,300
7,"Feria libre","Talca",2013,28,"Kiwi",300,350
7,"Feria libre","Curicó",2013,28,"Kiwi",300,600
7,"Feria libre","Talca",2013,28,"Limón",300,350
7,"Feria libre","Curicó",2013,28,"Limón",500,500
7,"Feria libre","Talca",2013,28,"Limón",250,250
7,"Feria libre","Talca",2013,28,"Mandarina",600,700
7,"Feria libre","Curicó",2013,28,"Mandarina",500,800
7,"Feria libre","Curicó",2013,28,"Plátano",350,350
7,"Feria libre","Talca",2013,28,"Plátano",400,450
7,"Feria libre","Talca",2013,28,"Zanahoria",50,55
7,"Feria libre","Talca",2013,28,"Zanahoria",40,45
7,"Feria libre","Talca",2013,30,"Ajo",100,100
7,"Feria libre","Talca",2013,30,"Brócoli",500,600
7,"Feria libre","Talca",2013,30,"Cebolla",200,250
7,"Feria libre","Curicó",2013,30,"Cebolla",200,250
7,"Feria libre","Curicó",2013,30,"Cebolla",130,150
7,"Feria libre","Talca",2013,30,"Cebolla",150,180
7,"Feria libre","Talca",2013,30,"Kiwi",300,350
7,"Feria libre","Talca",2013,30,"Kiwi",200,250
7,"Feria libre","Talca",2013,30,"Limón",250,300
7,"Feria libre","Curicó",2013,30,"Limón",350,500
7,"Feria libre","Curicó",2013,30,"Limón",250,300
7,"Feria libre","Talca",2013,30,"Limón",100,150
7,"Feria libre","Talca",2013,30,"Zanahoria",45,50
7,"Feria libre","Curicó",2013,30,"Zanahoria",45,60
7,"Feria libre","Talca",2013,31,"Ajo",100,150
7,"Feria libre","Talca",2013,31,"Brócoli",500,600
7,"Feria libre","Talca",2013,31,"Cebolla",200,250
7,"Feria libre","Talca",2013,31,"Kiwi",300,350
7,"Feria libre","Talca",2013,31,"Kiwi",200,250
7,"Feria libre","Talca",2013,31,"Limón",300,350
7,"Feria libre","Talca",2013,31,"Limón",200,250
7,"Feria libre","Talca",2013,31,"Zanahoria",40,45
7,"Feria libre","Talca",2013,32,"Ajo",100,150
7,"Feria libre","Talca",2013,32,"Brócoli",600,700
7,"Feria libre","Talca",2013,32,"Brócoli",500,500
7,"Feria libre","Talca",2013,32,"Cebolla",230,250
7,"Feria libre","Talca",2013,32,"Cebolla",150,200
7,"Feria libre","Talca",2013,32,"Kiwi",250,300
7,"Feria libre","Talca",2013,32,"Kiwi",200,200
7,"Feria libre","Talca",2013,32,"Limón",250,300
7,"Feria libre","Talca",2013,32,"Plátano",400,400
7,"Feria libre","Talca",2013,32,"Zanahoria",45,50
7,"Feria libre","Talca",2013,34,"Ajo",100,100
7,"Feria libre","Curicó",2013,34,"Ajo",100,150
7,"Feria libre","Talca",2013,34,"Brócoli",500,600
7,"Feria libre","Curicó",2013,34,"Brócoli",600,600
7,"Feria libre","Talca",2013,34,"Brócoli",350,450
7,"Feria libre","Curicó",2013,34,"Brócoli",450,500
7,"Feria libre","Talca",2013,34,"Cebolla",230,250
7,"Feria libre","Curicó",2013,34,"Cebolla",250,250
7,"Feria libre","Talca",2013,34,"Cebolla",50,200
7,"Feria libre","Curicó",2013,34,"Cebolla",200,200
7,"Feria libre","Curicó",2013,34,"Kiwi",300,350
7,"Feria libre","Talca",2013,34,"Kiwi",400,500
7,"Feria libre","Talca",2013,34,"Kiwi",300,350
7,"Feria libre","Talca",2013,34,"Limón",280,300
7,"Feria libre","Curicó",2013,34,"Limón",300,350
7,"Feria libre","Talca",2013,34,"Limón",200,250
7,"Feria libre","Curicó",2013,34,"Plátano",400,400
7,"Feria libre","Talca",2013,34,"Plátano",400,450
