"Personas","Edad","Tiempo","Monto","Dia","Soporte","Encuesta"
"WATHYK",53,3.13,31300,"Jueves","No","Muy Buena"
"TVOTWV",90,1.16,11600,"Lunes","Si","Normal"
"XZMZBW",13,0.89,8900,"Miercoles","No","Buena"
"XOHMUA",39,3.5,35000,"Sabado","No","Normal"
"ODWAFO",30,3.43,34300,"Sabado","No","Buena"
"CYYETS",9,1.76,17600,"Miercoles","No","Mala"
"QQKKBA",37,1.59,15900,"Sabado","Si","Buena"
"OISERS",74,2.77,27700,"Sabado","No","Buena"
"QTDCGV",80,3.5,35000,"Miercoles","No","Mala"
"NSKGSF",39,2.35,23500,"Miercoles","No","Mala"
"LJZAFH",17,1.1,11000,"Jueves","No","Mala"
"ZXCQBD",76,1.92,19200,"Martes","No","Normal"
"ZMSOJM",28,0.99,9900,"Domingo","No","Normal"
"WBPJIA",78,3.86,38600,"Jueves","No","Mala"
"QUCKZG",7,3.24,32400,"Lunes","No","Muy Buena"
"GQFEEY",34,2.22,22200,"Lunes","No","Mala"
"WYKICN",42,0.67,6700,"Viernes","No","Mala"
"ILWGAQ",92,1.19,11900,"Viernes","No","Normal"
"MXRWYG",75,2.25,22500,"Miercoles","No","Normal"
"LVRNHK",47,3.35,33500,"Viernes","Si","Muy Buena"
"ZRNXHM",38,1.45,14500,"Domingo","No","Normal"
"XTCZNX",20,4,40000,"Sabado","Si","Buena"
"OTECKO",10,3.04,30400,"Miercoles","No","Normal"
"RYSSOC",55,2.03,20300,"Sabado","No","Muy Buena"
"QVFRQO",52,3.55,35500,"Sabado","No","Normal"
"BDDLAY",64,3.04,30400,"Domingo","No","Normal"
"CWUGFJ",55,1.54,15400,"Jueves","No","Normal"
"SCMZNO",57,1.08,10800,"Sabado","No","Normal"
"XORDPZ",29,3.05,30500,"Miercoles","Si","Normal"
"ANLZKJ",73,3.05,30500,"Domingo","No","Muy Buena"
"TCDLZX",68,3.26,32600,"Sabado","No","Mala"
"JCKKYC",43,3.41,34100,"Viernes","No","Buena"
"PTWPTC",22,3.22,32200,"Miercoles","Si","Buena"
"PJTGGM",76,1.65,16500,"Domingo","Si","Normal"
"LQZTGR",60,2.86,28600,"Sabado","Si","Mala"
"UYPIZW",13,1.35,13500,"Jueves","No","Mala"
"ICPXAY",64,1.41,14100,"Domingo","No","Normal"
"MCYBTZ",51,2.13,21300,"Sabado","No","Muy Buena"
"EEOHLV",10,3.7,37000,"Domingo","No","Normal"
"VGSTJS",88,0.66,6600,"Sabado","No","Muy mala"
"HWPLSM",79,1.1,11000,"Sabado","Si","Normal"
